Drug Name,Drug ID,Cell Line Name,Cosmic ID,TCGA Classification,Tissue,Tissue Sub-type,IC50,AUC,Max Conc,RMSE,Z score,Dataset Version
"Vinblastine","1004","SU-DHL-6","1331037","DLBC","blood","B_cell_lymphoma","-6.3531458740182449",".41496954950485598",".10000000000000001",".1297210057397786","-1.3130579955042203","GDSC2"
"Vinblastine","1004","SU-DHL-8","1331038","DLBC","blood","B_cell_lymphoma","-4.0532707529783378",".74090749541702783",".10000000000000001",".055861440142232474","-.25697840902898034","GDSC2"
"Vinblastine","1004","TK","1331045","DLBC","blood","B_cell_lymphoma","-4.0083426985641744",".73929994290502865",".10000000000000001",".10598510157772881","-.23634789709692683","GDSC2"
"Vinblastine","1004","VAL","1331048","DLBC","blood","B_cell_lymphoma","-6.2841885227863878",".43093621223195622",".10000000000000001",".11248799792596738","-1.281393471501526","GDSC2"
"Vinblastine","1004","WSU-DLCL2","1331050","DLBC","blood","B_cell_lymphoma","-7.1039033640770182",".31264915372255808",".10000000000000001",".10118491868629828","-1.657798304398018","GDSC2"
"Cisplatin","1005","DB","906832","DLBC","blood","B_cell_lymphoma","1.1672398984729915",".83786210923613791","8",".12216505892622548","-1.1147796087806905","GDSC2"
"Cisplatin","1005","KARPAS-422","907274","DLBC","blood","B_cell_lymphoma","3.3312388987178334",".95741567086043078","8",".066179175962196593",".051581929260701494","GDSC2"
"Cisplatin","1005","TUR","909773","DLBC","blood","B_cell_lymphoma","2.7113256146139051",".97343337311736478","8",".075147960526525545","-.28254161304127778","GDSC2"
"Cisplatin","1005","BC-1","910919","DLBC","blood","B_cell_lymphoma","1.4713943576838355",".89399961518512505","8",".081592163915368235","-.95084512322539694","GDSC2"
"Cisplatin","1005","SCC-3","910930","DLBC","blood","B_cell_lymphoma","-1.2673508736088843",".57995221933800944","8",".085243784487267354","-2.4269858700153373","GDSC2"
"Cisplatin","1005","A4-Fuk","910934","DLBC","blood","B_cell_lymphoma","1.5181179510083622",".88467295421590109","8",".060626595640835126","-.92566183886775655","GDSC2"
"Cisplatin","1005","A3-KAW","910935","DLBC","blood","B_cell_lymphoma","-.46778010315012664",".68551407439116097","8",".10547336904161909","-1.9960297588989726","GDSC2"
"Cisplatin","1005","GRANTA-519","1303897","DLBC","blood","B_cell_lymphoma","1.2829539451962728",".83827743401181054","8",".082719093016247996","-1.052411551543192","GDSC2"
"Cisplatin","1005","JSC-1","1327769","DLBC","blood","B_cell_lymphoma","1.3337992228059277",".8721993228135152","8",".083110302479767764","-1.0250067439678519","GDSC2"
"Cisplatin","1005","KARPAS-1106P","1327773","DLBC","blood","B_cell_lymphoma","2.1890080493379624",".93531226715742599","8",".067136432200270005","-.56406259281638649","GDSC2"
"Cisplatin","1005","RC-K8","1330995","DLBC","blood","B_cell_lymphoma","2.8241487710416027",".93321995787577239","8",".089859962639746938","-.22173170035517897","GDSC2"
"Cisplatin","1005","SLVL","1331032","DLBC","blood","B_cell_lymphoma",".55880328394630197",".78462019498616686","8",".16286224867599805","-1.4427174060900951","GDSC2"
"Cisplatin","1005","SU-DHL-10","1331033","DLBC","blood","B_cell_lymphoma","1.5150455162368588",".91685107135599864","8",".14287426198806569","-.92731783304576543","GDSC2"
"Cisplatin","1005","SU-DHL-5","1331036","DLBC","blood","B_cell_lymphoma",".38693795755640686",".80360572830597266","8",".09744824259683349","-1.5353501228341526","GDSC2"
"Cisplatin","1005","SU-DHL-6","1331037","DLBC","blood","B_cell_lymphoma","2.4612565976876262",".968822251536815","8",".058144985963801618","-.41732489305463866","GDSC2"
"Cisplatin","1005","SU-DHL-8","1331038","DLBC","blood","B_cell_lymphoma",".84296373093675614",".85266615454333505","8",".080645428732608923","-1.2895593796932179","GDSC2"
"Cisplatin","1005","TK","1331045","DLBC","blood","B_cell_lymphoma","2.6621706298571373",".96671754009681077","8",".065749957210339646","-.30903537926613189","GDSC2"
"Cisplatin","1005","VAL","1331048","DLBC","blood","B_cell_lymphoma",".57658809820856871",".78798925237292872","8",".096396815430502783","-1.4331316699994727","GDSC2"
