Gene_symbol,CRO-AP2,DB,GRANTA-519,JM1,JSC-1,KARPAS-1106P,KARPAS-422,NU-DUL-1,OCI-LY7,RC-K8,SCC-3,SLVL,SU-DHL-4,SU-DHL-8,TK,TUR,WSU-DLCL2
Null,Sensitive,Resistive,Resistive,Sensitive,Resistive,Sensitive,Resistive,Sensitive,Sensitive,Resistive,Sensitive,Sensitive,Sensitive,Resistive,Resistive,Resistive,Sensitive
NEK2P2,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEK2P4,0.1,0.0,0.07,0.0,0.0,0.04,0.12,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.07,0.0
NEK3,7.56,13.73,26.52,3.84,0.03,12.08,16.14,8.16,19.4,12.58,17.52,8.91,6.59,11.76,18.56,51.71,8.26
NEK4,17.14,20.16,7.14,27.63,17.23,16.02,31.83,17.79,18.16,14.1,9.91,15.25,13.11,24.19,30.22,20.99,15.37
NEK4P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEK4P2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEK4P3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEK5,0.13,0.15,0.88,0.34,0.1,0.21,0.28,0.59,0.19,0.23,1.11,0.12,0.16,1.11,0.19,0.59,0.07
NEK6,0.0,150.08,180.23,0.34,0.03,124.58,257.57,59.89,13.46,6.39,86.42,159.67,162.66,0.2,0.04,117.54,183.53
NEK7,41.79,61.27,23.74,57.12,36.06,32.64,126.17,19.78,29.89,18.31,64.75,46.49,14.52,28.48,42.71,98.56,40.72
NEK8,5.25,17.34,32.44,14.21,9.57,25.13,31.95,15.87,18.92,26.52,3.62,28.38,19.11,10.01,9.45,3.26,13.83
NEK9,47.7,94.4,82.6,50.09,81.56,43.25,144.54,73.52,26.92,48.46,50.18,30.24,63.74,66.44,80.32,51.12,60.74
NEK10,0.1,0.08,0.03,0.08,0.1,0.29,0.68,0.35,0.03,0.03,0.03,0.06,0.1,0.17,0.15,0.17,0.16
NEK11,2.11,0.27,0.31,0.3,0.57,0.36,1.6,0.45,0.16,0.83,5.12,0.53,0.0,0.3,1.42,2.98,0.07
NELFA,25.8,19.63,22.51,34.12,32.12,20.88,37.5,38.4,24.07,25.89,35.04,19.87,30.46,53.38,53.84,44.92,34.17
NELFB,107.49,100.94,116.5,99.37,92.47,87.72,133.48,103.94,111.88,98.58,77.28,60.18,126.82,140.98,164.57,83.64,79.11
NELFCD,48.1,108.63,55.4,162.8,59.58,18.3,78.2,92.43,75.47,73.72,64.68,36.42,68.56,173.36,97.56,78.27,48.46
NELFE,83.08,86.45,85.73,86.53,94.54,66.31,127.61,25.25,92.16,27.18,143.47,46.92,69.25,138.63,82.38,120.56,78.48
NELL1,0.0,0.46,0.03,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
NELL2,7.17,131.45,0.03,0.11,0.27,2.79,55.99,0.03,0.32,0.63,0.03,0.03,54.56,0.07,2.96,0.0,0.33
NEMF,28.41,26.55,18.3,29.3,40.45,36.14,46.73,22.01,24.04,21.78,17.89,24.66,11.21,12.19,30.26,19.88,24.82
NEMP1,46.21,131.56,146.33,202.17,51.15,89.44,104.84,76.98,106.45,49.29,45.96,60.83,151.38,160.5,83.58,85.16,58.93
NEMP2,3.93,7.68,17.65,11.25,5.12,11.19,14.86,12.94,9.59,4.37,9.98,12.05,9.97,10.45,6.3,20.54,8.39
NENF,42.48,56.21,24.31,51.3,43.76,46.9,44.81,39.87,30.91,43.57,69.2,66.51,11.74,35.17,85.94,125.23,15.21
NENFP1,0.36,0.68,0.2,0.3,0.27,0.64,1.12,0.42,0.42,0.17,0.2,0.47,0.26,0.1,0.26,0.24,0.46
NENFP2,0.1,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.17,0.1,4.84,0.0,0.0,0.0,0.14,0.0
NENFP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEO1,23.12,2.24,1.09,9.01,36.7,2.0,5.19,4.15,2.65,1.09,13.5,4.35,2.23,0.97,26.66,18.42,2.04
NEPNP,0.0,2.17,0.54,0.49,0.03,0.04,0.52,0.03,0.0,0.0,0.03,0.03,0.03,0.54,0.0,0.0,0.0
NEPRO,28.34,35.37,44.0,54.08,28.84,36.07,43.89,41.09,26.76,28.27,32.26,30.96,13.28,31.34,49.87,41.21,16.76
NES,0.0,0.11,0.14,0.11,0.1,0.04,0.08,0.14,0.0,0.03,0.07,0.16,0.2,0.07,0.0,0.0,0.03
NET1,19.62,126.43,45.06,77.67,42.45,139.38,55.4,53.82,52.17,23.97,36.41,23.1,59.48,38.09,34.65,49.49,84.08
NETO1,0.0,0.0,24.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NETO2,21.7,37.05,26.93,24.05,7.96,13.94,64.22,1.46,0.22,40.06,28.84,18.72,7.97,3.19,0.19,4.95,5.1
NEU1,43.9,12.93,18.87,22.31,76.11,25.88,34.15,8.27,10.01,27.08,29.54,18.6,10.62,11.45,19.84,63.24,13.56
NEU2,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEU3,18.63,112.92,21.8,28.31,18.4,25.6,67.02,39.8,37.59,24.53,41.4,20.37,54.46,35.51,36.67,53.75,31.77
NEU4,0.26,0.04,0.03,0.27,0.0,0.0,0.0,0.1,0.16,0.1,12.83,0.25,0.07,2.32,0.0,0.14,0.0
NEURL1,0.07,8.06,0.07,0.0,0.03,0.0,0.2,0.1,0.0,0.0,24.55,0.0,1.93,0.07,0.0,0.03,0.03
NEURL1-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEURL1B,0.46,0.0,2.79,0.15,3.04,0.14,0.04,0.03,0.26,0.03,3.68,0.25,0.03,0.0,0.0,14.55,0.07
NEURL2,4.36,1.79,0.85,0.72,4.22,4.54,2.88,1.36,8.69,3.18,4.62,7.3,0.95,1.88,6.0,5.33,17.25
NEURL3,0.17,0.0,0.14,0.0,0.07,1.25,0.04,0.0,0.06,0.13,0.37,0.56,0.0,0.03,0.07,0.03,0.0
NEURL4,20.38,22.44,11.87,27.89,26.3,19.73,59.67,44.4,23.65,23.57,6.9,19.25,16.98,26.47,23.06,12.54,16.66
NEUROD1,0.0,0.08,0.07,0.04,0.0,0.0,0.12,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEUROD2,0.0,0.11,0.14,0.04,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0
NEUROD4,0.26,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07
NEUROD6,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEUROG1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEUROG2,0.26,0.68,7.21,1.86,0.3,0.89,22.93,0.42,0.06,4.47,0.03,0.65,0.0,2.45,1.46,0.76,1.28
NEUROG3,0.0,0.0,0.07,0.08,0.0,1.11,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
NEXMIF,0.0,0.0,3.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0
NEXN,0.17,0.23,2.72,1.94,0.07,1.07,1.96,5.06,0.16,0.17,0.03,0.12,2.85,16.39,0.56,0.14,54.09
NEXN-AS1,0.43,0.38,0.41,0.34,0.23,0.46,0.8,0.28,0.32,0.43,0.57,0.28,1.15,0.44,0.37,0.35,14.65
NF1,11.53,32.33,18.36,9.8,22.65,48.08,46.37,11.58,10.8,11.75,16.31,14.38,6.62,11.66,9.37,13.65,19.39
NF1P1,0.03,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF1P2,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF1P3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF1P4,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF1P5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF1P6,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF1P7,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF1P8,0.1,0.04,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF1P9,0.23,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF1P10,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0
NF1P11,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF1P12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF2,61.97,26.24,19.76,21.89,43.62,20.73,27.0,25.32,17.45,19.4,12.16,13.54,23.15,16.49,25.87,19.08,19.62
NFAM1,0.13,0.57,4.22,0.0,0.1,2.75,0.12,0.0,0.38,0.26,0.23,4.19,0.75,0.03,0.07,65.77,0.16
NFASC,0.36,0.42,0.14,0.04,0.03,0.04,0.48,0.03,0.03,0.0,0.03,0.06,0.07,0.03,0.04,0.03,0.03
NFAT5,13.84,31.04,36.59,7.18,20.34,27.2,23.68,12.56,8.37,26.28,35.71,27.39,10.36,7.09,23.13,16.45,21.33
NFATC1,1.32,9.28,10.34,2.66,0.0,3.57,53.36,6.03,18.57,0.26,1.21,1.61,23.15,6.75,22.95,11.74,49.05
NFATC2,11.26,113.23,33.26,30.4,0.07,16.41,50.64,16.32,35.83,188.83,0.0,73.72,27.57,59.89,15.19,25.97,61.33
NFATC2IP,66.13,58.95,84.57,100.51,58.81,58.38,119.98,101.22,69.24,61.81,63.91,62.2,46.66,83.77,74.88,74.22,37.53
NFATC3,26.0,20.88,14.96,28.8,36.7,52.08,33.39,26.44,44.85,25.06,42.57,21.12,34.26,23.82,40.61,45.26,30.48
NFATC4,0.03,1.9,13.09,28.61,0.94,0.11,0.6,10.46,41.33,0.96,2.78,0.0,36.75,22.84,15.45,0.0,23.44
NFE2,0.89,0.04,0.14,0.08,5.92,0.0,0.08,0.03,0.0,0.0,98.95,0.0,0.03,0.03,0.0,63.58,0.0
NFE2L1,87.97,74.81,454.25,117.99,94.64,132.27,156.24,95.7,167.72,129.64,118.51,398.87,44.36,139.54,116.09,55.97,208.72
NFE2L2,45.49,33.28,48.76,31.88,38.21,59.09,41.02,38.85,46.73,45.85,44.01,51.39,15.48,29.46,73.34,39.52,31.01
NFE2L3,4.2,2.4,32.27,6.19,25.93,24.92,1.8,21.52,19.88,3.18,3.35,17.23,3.57,1.55,3.97,6.93,2.5
NFE2L3P1,0.03,0.3,1.05,0.11,0.03,0.14,0.88,0.24,0.03,0.1,0.2,0.09,0.23,0.1,0.04,0.07,0.0
NFE4,65.93,0.23,0.0,0.04,0.0,0.04,0.0,0.1,0.06,0.07,45.82,0.0,0.0,0.0,0.0,62.51,0.0
NFIA,3.96,0.04,3.71,1.52,8.46,1.07,7.55,7.36,1.73,0.03,1.57,0.16,6.49,0.27,0.97,1.73,8.13
NFIA-AS1,0.17,0.0,0.88,0.0,0.23,0.0,0.2,0.07,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.03,0.0
NFIA-AS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NFIB,57.21,0.08,0.1,0.27,56.2,0.43,0.48,0.03,8.31,0.26,0.03,0.06,1.51,0.13,1.27,0.52,0.3
NFIC,1.32,0.65,13.09,0.91,1.37,3.75,3.63,3.24,1.5,2.02,30.08,50.52,1.05,1.21,2.96,32.21,0.95
NFIL3,15.36,4.18,6.16,22.5,2.94,77.97,10.22,17.89,24.97,44.92,272.36,12.95,13.51,10.58,5.55,36.33,18.67
NFIX,0.46,0.11,2.62,1.71,8.1,3.07,2.56,0.66,0.29,0.46,6.43,0.22,1.44,5.04,1.31,15.97,0.36
NFKB1,27.62,87.82,108.79,39.83,31.21,83.76,31.95,91.76,36.12,93.35,21.87,99.62,46.23,32.52,48.07,34.87,64.59
NFKB2,27.05,31.15,201.35,9.39,46.67,334.17,9.07,100.62,76.81,336.21,83.91,476.56,27.31,35.37,11.17,44.47,63.08
NFKBIA,117.1,25.86,333.22,40.81,47.1,195.47,90.54,120.85,55.52,277.78,110.0,408.4,31.7,58.58,70.57,28.88,64.43
NFKBIB,52.79,47.28,49.51,77.67,53.46,68.49,58.91,53.5,26.18,71.57,22.51,83.72,27.97,77.16,109.52,35.36,49.88
NFKBID,4.26,27.57,49.75,9.61,6.02,96.45,10.58,12.84,25.57,63.59,13.26,32.6,9.38,2.59,2.55,9.45,8.95
NFKBIE,8.26,26.05,109.16,16.3,15.52,78.11,29.32,25.74,32.8,86.93,17.72,164.48,22.2,22.94,39.97,24.42,21.5
NFKBIL1,30.56,8.9,31.73,13.22,19.94,19.55,59.55,6.63,36.31,35.39,47.46,33.16,23.44,24.55,8.96,64.8,49.74
NFKBIZ,8.23,51.57,60.12,24.36,7.39,73.43,2.8,11.61,10.23,165.03,30.11,58.16,0.39,6.18,123.77,2.15,1.74
NFRKB,33.76,68.99,21.76,36.48,20.24,19.66,29.2,23.23,23.33,29.43,26.93,20.53,30.95,29.29,53.58,35.95,34.96
NFS1,26.69,25.71,15.27,22.88,28.9,21.06,35.39,19.85,13.04,24.7,11.09,14.72,19.18,26.44,22.05,28.09,18.3
NFU1,28.84,39.67,15.06,16.07,26.43,40.93,57.55,23.3,24.71,37.84,20.6,16.36,29.31,31.84,29.73,52.36,38.35
NFU1P1,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NFU1P2,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0
NFX1,50.41,65.19,64.51,55.18,39.51,120.76,78.28,53.75,36.34,54.69,32.96,41.52,34.59,28.55,34.72,34.77,35.75
NFXL1,14.83,36.86,30.98,15.24,21.28,24.24,35.99,15.14,18.16,25.19,22.78,20.93,11.8,15.55,25.08,24.31,17.25
NFYA,44.63,101.21,61.72,129.58,43.29,39.36,69.13,52.35,52.42,28.93,37.18,28.2,59.21,207.46,77.05,95.2,19.98
NFYAP1,0.79,0.0,0.0,0.0,2.31,3.61,1.96,0.0,0.0,1.16,0.0,3.35,0.0,0.0,0.0,0.0,0.0
NFYB,43.7,45.98,42.41,69.88,22.11,31.71,33.19,34.22,43.95,15.1,45.49,16.43,21.74,41.48,38.02,26.42,53.99
NFYC,25.93,32.79,34.62,36.03,23.32,43.04,39.3,29.72,32.45,19.9,15.27,26.08,37.84,34.4,37.12,25.63,61.33
NFYC-AS1,9.68,20.5,11.73,7.22,13.15,7.94,27.08,7.74,14.8,13.8,8.71,5.06,14.95,12.33,12.34,4.68,18.5
NGB,0.03,0.19,0.14,0.04,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGDN,24.91,15.4,21.83,48.76,15.36,21.77,86.71,29.89,25.09,20.79,20.03,16.12,20.1,54.65,24.93,14.68,17.71
NGEF,0.03,0.04,1.09,0.0,0.1,0.07,0.08,0.03,0.03,0.0,0.07,0.03,0.0,0.03,0.0,0.0,0.0
NGF,0.0,0.0,0.1,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.03,0.0,0.0,0.0
NGFR,0.03,0.38,0.1,0.3,0.07,0.79,0.2,0.14,0.1,0.1,0.77,14.38,0.2,0.03,0.04,0.03,0.4
NGLY1,41.42,32.1,15.34,51.19,30.48,46.9,32.99,39.73,52.94,20.59,19.36,20.03,33.74,31.07,49.04,50.49,44.44
NGRN,11.4,13.43,21.46,16.87,13.15,11.33,14.74,10.15,14.83,7.22,13.83,10.53,8.92,22.88,29.77,14.1,9.18
NHEJ1,1.68,1.71,3.37,2.58,0.94,1.14,1.72,1.74,0.96,1.52,1.17,1.55,2.3,2.02,1.16,1.28,0.63
NHLH1,1.78,0.65,0.41,0.91,1.87,1.36,0.44,1.5,0.83,2.48,0.33,0.5,0.39,0.24,0.56,0.31,0.56
NHLH2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NHLRC1,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0
NHLRC2,12.29,12.25,32.37,20.75,19.74,22.38,17.45,7.6,22.12,19.43,12.9,38.41,9.18,10.41,13.5,34.98,21.4
NHLRC3,13.08,10.23,55.5,25.69,9.13,28.63,35.71,27.97,20.97,31.25,13.97,29.84,11.84,24.29,33.11,66.36,16.92
NHLRC4,4.03,0.34,5.64,0.8,11.88,1.86,6.15,1.19,3.68,2.88,0.47,0.47,3.97,2.05,1.42,2.7,2.96
NHP2,167.34,160.35,127.05,258.56,178.35,212.34,269.15,264.37,175.43,167.64,139.92,118.19,230.36,189.45,328.38,91.43,130.6
NHP2P1,0.17,0.0,0.0,0.0,0.23,0.21,0.36,0.0,0.03,0.23,0.1,0.12,0.0,0.1,0.26,0.0,0.0
NHP2P2,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NHS,3.86,0.04,0.03,0.04,0.77,0.04,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.07,1.14,0.0
NHS-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NHSL1,1.32,0.08,4.39,0.38,2.11,0.11,6.35,0.14,7.26,9.04,2.01,3.73,0.52,28.08,0.41,3.39,0.13
NHSL2,0.2,0.19,0.24,0.04,0.03,2.82,0.08,0.0,0.0,0.0,0.2,0.22,0.1,0.13,0.0,22.82,0.0
NICN1,15.0,17.69,16.29,15.5,15.59,26.2,34.67,24.27,20.59,7.22,10.99,14.87,16.26,16.53,10.46,52.05,26.76
NID1,1.42,0.04,5.3,0.08,7.23,0.11,0.04,0.03,0.0,0.07,0.07,87.72,0.07,0.03,0.0,1.28,0.1
NID2,0.03,0.3,0.51,0.87,0.03,0.04,0.44,0.52,0.0,0.0,0.03,0.0,0.03,0.37,0.0,0.0,0.03
NIF3L1,41.32,55.49,88.62,75.24,43.79,54.23,79.84,63.79,78.51,62.77,40.8,41.89,40.39,76.22,52.27,46.68,41.22
NIFK,144.95,133.69,96.64,166.71,98.36,87.62,136.55,138.81,92.06,72.56,79.49,75.92,93.77,64.23,119.76,101.92,67.88
NIFK-AS1,5.65,7.34,10.98,6.69,10.87,6.72,14.46,8.61,8.76,5.79,11.09,7.33,9.57,15.72,5.17,8.21,8.72
NIFKP1,0.0,0.08,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0
NIFKP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIFKP3,2.81,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.03,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0
NIFKP4,0.43,0.0,0.41,0.04,0.43,0.71,0.08,0.17,0.42,0.26,0.47,0.25,0.1,0.1,0.37,0.31,0.0
NIFKP6,0.0,0.53,0.34,0.27,0.0,0.0,0.92,0.14,0.0,0.03,0.03,0.03,0.13,0.13,0.0,0.0,0.0
NIFKP7,0.0,0.15,0.0,0.0,0.0,0.0,0.12,0.24,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0
NIFKP8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.1,0.37,0.03,0.0,0.0,0.0,0.55,0.0
NIFKP9,0.1,0.0,0.0,0.19,0.0,0.18,0.0,0.0,0.19,0.23,0.0,0.06,0.0,0.0,0.11,0.17,0.0
NIM1K,1.32,0.65,0.1,0.23,0.77,1.22,12.9,0.24,0.26,0.53,1.57,7.45,0.1,0.07,0.64,0.1,0.3
NIN,38.48,78.81,91.14,53.85,22.28,96.34,103.24,59.68,66.46,8.77,24.82,8.85,54.62,23.28,51.89,27.57,89.78
NINJ1,0.1,20.23,24.01,12.92,0.13,18.09,20.25,10.57,13.14,12.48,24.75,96.36,3.87,26.87,22.2,25.7,0.72
NINJ2,8.75,11.45,3.71,0.42,5.82,10.9,10.5,1.15,2.21,3.44,3.22,31.52,44.82,1.28,0.49,13.23,7.51
NINL,51.13,5.93,12.38,22.8,15.82,0.11,0.84,0.31,0.13,0.07,4.25,0.16,2.16,1.85,0.0,1.0,0.2
NIP7,41.69,78.31,95.42,58.56,64.03,37.18,93.26,55.77,40.47,58.56,82.23,34.06,33.25,55.59,70.15,24.9,19.75
NIP7P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIP7P2,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.04,0.0,0.4
NIP7P3,0.0,0.49,0.71,0.19,0.0,0.04,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
NIPA1,17.24,31.23,46.83,23.79,24.02,34.35,28.04,31.6,37.85,40.19,26.23,32.51,25.15,5.84,24.78,0.03,34.01
NIPA2,132.26,36.93,145.58,110.96,79.89,98.41,61.87,111.16,120.13,155.52,59.72,129.99,45.93,70.67,147.66,41.04,74.99
NIPA2P1,0.0,0.19,0.0,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIPA2P2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIPA2P4,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIPA2P5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIPAL1,0.26,0.61,0.78,0.08,0.23,0.75,0.68,0.14,0.64,2.28,1.31,0.09,1.67,0.27,0.34,0.07,0.33
NIPAL2,0.4,4.07,32.99,14.02,9.87,15.16,5.39,24.66,0.1,18.01,10.22,13.14,4.75,8.5,11.14,23.45,2.96
NIPAL3,19.82,23.92,5.44,9.01,20.41,19.34,29.04,11.09,10.55,17.28,23.08,8.23,22.13,17.74,15.56,17.14,25.78
NIPAL4,0.13,1.37,0.37,0.04,0.03,0.04,0.12,0.28,0.0,0.0,0.0,0.22,0.03,0.0,0.0,0.0,0.03
NIPBL,23.59,79.72,46.52,67.87,42.69,42.54,52.68,34.56,32.32,37.97,15.27,29.72,22.98,29.36,43.38,35.39,42.67
NIPBL-DT,,,,,,,,,,,,,,,,,
NIPSNAP1,154.33,126.5,103.96,69.35,289.35,35.1,149.77,157.3,69.17,90.67,197.43,85.52,140.52,177.02,68.47,133.47,170.5
NIPSNAP2,34.39,51.38,32.37,36.82,31.78,24.52,27.68,22.46,39.29,39.96,22.64,36.49,27.87,27.81,44.62,41.25,52.51
NIPSNAP3A,48.49,5.59,23.7,21.09,13.58,28.92,10.94,36.62,40.37,14.6,7.37,32.11,35.31,20.29,49.83,77.96,20.87
NIPSNAP3B,0.96,0.08,35.57,8.36,0.3,2.68,0.08,6.35,0.96,0.17,0.13,6.4,7.31,0.27,4.61,17.18,14.49
NISCH,32.07,26.4,22.82,48.83,22.05,21.45,61.67,50.01,22.6,28.5,33.56,31.3,32.59,43.37,47.17,40.69,38.02
NIT1,29.83,21.49,13.47,27.51,31.28,29.53,36.98,32.75,28.16,18.64,68.57,23.16,19.87,36.31,30.03,24.9,43.49
NIT2,21.21,27.31,17.31,26.33,15.76,21.7,37.98,21.41,15.7,18.94,10.55,23.38,7.44,16.73,15.94,30.16,18.47
NKAIN1,0.03,0.08,0.07,0.0,0.0,0.04,0.12,0.0,0.0,0.03,3.42,0.06,0.0,0.0,0.0,0.31,0.0
NKAIN1P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NKAIN2,11.56,0.04,0.0,5.05,1.44,0.25,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.13,0.0,0.0,0.0
NKAIN3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NKAIN4,0.1,0.04,0.03,0.3,0.0,0.07,0.12,0.0,0.0,0.46,0.07,0.0,0.1,0.0,0.07,0.03,0.03
NKAP,24.44,17.72,12.45,23.98,12.61,25.17,12.02,8.51,13.36,15.72,11.86,11.05,10.49,8.73,21.97,16.07,17.42
NKAPD1,21.34,57.39,36.52,38.12,30.71,26.63,18.01,16.57,30.43,23.6,26.83,27.95,31.25,25.02,44.09,27.15,29.17
NKAPL,0.0,0.0,0.07,0.04,0.0,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.0,0.03,0.04,0.07,0.0
NKAPP1,1.92,2.74,2.58,3.27,1.87,5.51,1.12,3.07,2.05,1.92,1.54,2.14,0.95,0.0,2.32,1.87,1.68
NKD1,0.2,0.0,0.34,0.84,0.17,0.11,0.04,1.46,0.03,0.66,3.48,0.12,0.39,0.03,0.04,0.55,0.36
NKD2,0.0,0.04,0.68,2.7,0.0,0.57,0.0,16.22,0.16,0.07,1.44,0.0,0.23,0.0,0.0,0.0,0.03
NKG7,1.02,6.24,0.41,0.65,0.23,0.25,22.73,3.31,0.16,0.0,2327.37,28.94,4.3,6.42,0.15,401.94,0.16
NKILA,0.0,0.04,0.14,0.08,0.0,0.0,0.12,0.49,1.21,0.03,3.85,0.06,1.44,0.0,0.07,0.28,2.7
NKIRAS1,2.25,2.43,7.99,7.9,18.07,6.72,3.67,5.34,2.59,5.13,3.95,2.61,1.05,3.73,4.27,4.43,8.69
