Gene_symbol,CRO-AP2,DB,GRANTA-519,JM1,JSC-1,KARPAS-1106P,KARPAS-422,NU-DUL-1,OCI-LY7,RC-K8,SCC-3,SLVL,SU-DHL-4,SU-DHL-8,TK,TUR,WSU-DLCL2
Null,Sensitive,Resistive,Resistive,Sensitive,Resistive,Sensitive,Resistive,Sensitive,Sensitive,Resistive,Sensitive,Sensitive,Sensitive,Resistive,Resistive,Resistive,Sensitive
ABCC10,16.91,12.82,12.0,12.73,17.93,16.69,36.82,11.13,8.44,10.33,13.16,9.63,18.23,11.59,11.06,7.34,9.71
ABCC11,0.23,0.08,0.07,0.11,0.17,0.07,0.28,0.03,0.03,0.1,0.13,0.09,0.03,0.13,0.07,0.21,0.03
ABCC12,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.03
ABCC13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
ABCD1,29.07,2.47,7.92,14.71,38.61,19.98,4.75,4.71,7.54,6.95,6.93,12.11,6.07,1.34,4.91,58.53,9.84
ABCD1P2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCD1P3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.03,0.0
ABCD1P4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCD1P5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCD2,11.53,0.0,3.81,9.01,14.32,1.86,0.04,5.86,2.27,3.21,0.0,28.13,0.13,2.35,1.5,0.0,0.1
ABCD3,25.73,37.62,7.52,33.02,24.05,25.92,15.78,23.4,19.53,13.01,12.06,14.28,11.74,23.45,61.94,33.11,14.75
ABCD4,13.01,14.87,22.38,19.87,26.5,13.37,32.87,18.59,15.15,13.8,22.68,8.76,10.75,27.85,21.37,14.48,18.4
ABCE1,144.65,169.94,93.28,116.32,149.94,96.91,173.86,120.43,87.94,105.27,124.47,70.46,57.64,83.88,103.26,93.16,45.86
