Gene_symbol,A3-KAW,A4-Fuk,BC-1,DB,DOHH-2,Farage,GRANTA-519,JSC-1,KARPAS-1106P,KARPAS-422,RC-K8,SCC-3,SLVL,SU-DHL-10,SU-DHL-5,SU-DHL-6,SU-DHL-8,TK,TUR,VAL
Null,Sensitive,Resistive,Resistive,Resistive,Sensitive,Sensitive,Resistive,Sensitive,Resistive,Resistive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Resistive,Resistive,Resistive,Resistive
,,,,,,,,,,,,,,,,,,,,
MIR4722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0
MIR4726,0.0,0.0,0.36,0.0,0.0,0.44,0.0,0.0,0.36,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.84
MIR4727,0.0,1.33,0.4,0.0,0.0,0.0,0.0,0.7,0.39,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.35,0.44
MIR4728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.91,0.0,0.3,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.36
MIR4729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7
MIR4730,2.26,0.0,6.06,0.0,0.0,0.0,6.16,3.48,1.64,5.75,1.32,6.6,3.14,0.28,1.52,2.42,0.0,4.35,4.71,5.39
MIR4731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4733,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,2.28,0.0,0.0,0.22,0.28,0.0,0.0,0.0,0.0,0.24,0.33
MIR4734,0.0,0.0,2.09,0.0,0.0,0.36,0.0,0.8,0.61,1.24,0.36,2.01,0.47,0.0,1.31,0.0,0.0,0.37,0.0,2.08
MIR4735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4736,4.89,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.89,3.71,1.06,0.0,0.34,0.0,0.99,0.0,2.18,0.0,0.0,0.0
MIR4737,4.96,7.23,3.61,1.56,4.84,0.62,3.47,0.94,3.65,17.21,1.85,5.93,1.58,3.05,5.16,1.94,0.64,0.94,1.63,1.49
MIR4738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4739,3.11,1.97,0.0,0.0,0.0,0.66,0.0,4.35,0.0,0.0,0.0,0.0,0.87,2.13,2.51,0.0,0.0,0.0,0.0,0.33
MIR4740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4742,2.03,0.0,0.76,0.0,0.77,0.87,1.09,0.23,0.0,0.0,1.46,0.23,0.93,0.0,0.28,0.92,0.0,1.2,1.11,6.56
MIR4743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0
MIR4744,0.0,0.0,0.76,2.32,0.0,2.11,2.28,1.84,3.07,0.0,1.52,1.21,0.96,2.77,1.41,3.19,1.28,1.87,1.39,4.12
MIR4745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4746,0.0,0.0,6.21,0.0,0.0,17.74,0.0,2.94,7.4,0.0,50.29,5.93,8.51,26.75,15.02,14.76,0.0,35.96,7.41,2.73
MIR4747,0.0,0.0,0.0,0.0,0.0,1.38,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.42,0.48,0.0,1.87,0.35,0.0
MIR4748,0.0,0.0,0.25,0.0,0.0,1.2,0.0,0.47,1.04,3.2,0.0,0.74,0.59,0.28,0.28,0.62,0.0,1.87,0.69,2.37
MIR4749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.36,0.0,0.4,0.0,0.25,0.0,0.0,0.0,0.0,0.82,0.0,0.4
MIR4750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4753,1.38,0.0,3.03,0.0,0.0,5.65,0.0,3.65,3.29,0.0,0.89,2.65,2.3,1.1,1.66,1.25,0.0,3.37,0.9,8.75
MIR4754,1.28,1.65,0.47,1.41,0.0,0.84,0.0,0.0,0.0,10.78,0.56,0.0,0.53,0.25,1.03,0.0,0.57,0.0,0.21,0.55
MIR4755,0.0,0.0,1.15,0.0,0.0,2.4,0.0,0.8,4.08,0.0,3.81,0.27,0.87,1.56,1.27,2.2,0.71,3.56,0.28,1.68
MIR4756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4757,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.69,0.0,0.0,0.0
MIR4758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4761,0.0,0.0,1.55,0.0,0.0,0.29,0.0,0.23,1.29,0.0,0.0,0.74,3.11,0.82,0.0,0.0,0.0,0.0,1.39,1.46
MIR4762,0.78,0.0,0.29,0.0,0.0,2.62,1.26,1.27,5.04,0.0,0.99,0.27,0.22,0.89,0.92,2.09,2.75,0.67,0.24,2.92
MIR4763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4764,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4765,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,1.64,0.0,0.33,0.27,0.0,0.0,0.6,0.33,0.0,0.67,0.24,0.95
MIR4766,5.3,5.79,6.64,6.66,4.29,14.94,8.64,8.2,20.98,3.43,8.54,7.64,4.41,9.8,9.44,15.16,3.39,2.7,3.71,14.95
MIR4767,1.49,0.0,0.0,1.64,0.0,61.05,1.19,20.84,64.06,6.71,8.64,20.03,1.65,48.98,94.74,67.87,1.31,44.81,3.84,25.12
MIR4768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4770,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4771-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4771-2,0.0,0.0,0.58,0.0,0.9,3.35,0.0,0.77,0.86,1.16,1.03,1.61,0.87,2.45,4.07,4.62,0.0,1.39,0.24,1.31
MIR4772,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.24,0.0
MIR4773-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4773-2,,,,,,,,,,,,,,,,,,,,
MIR4774,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.74,0.54,0.0,0.0,0.27,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4776-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4776-2,,,,,,,,,,,,,,,,,,,,
MIR4777,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.87,1.47,0.0,1.16,0.94,1.68,0.0,0.0,5.79,0.0,0.3,0.21,0.29
MIR4778,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4779,0.0,0.0,0.51,0.0,0.0,0.87,1.12,1.14,0.75,0.0,1.19,0.23,0.78,0.28,0.85,0.33,0.64,0.6,0.24,0.29
MIR4780,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4782,4.25,2.7,2.92,7.04,9.67,1.82,5.2,2.44,3.68,9.67,1.16,4.46,1.18,2.31,2.58,4.87,1.44,2.14,8.35,2.7
MIR4783,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.0,1.28,0.0,0.3,0.94,0.58
MIR4784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4786,2.16,10.07,3.39,2.36,5.7,6.78,1.16,1.17,6.29,5.43,4.67,1.24,2.79,6.78,7.81,8.2,9.04,6.71,0.94,3.94
MIR4787,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,5.49,0.0,0.0,0.0,0.33,0.0,0.0,0.45,0.0
MIR4788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4790,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4793,1.99,1.68,1.19,2.17,0.0,0.0,0.0,0.87,0.5,2.0,4.01,2.98,0.37,3.62,0.53,0.92,2.38,0.86,3.01,0.55
MIR4794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4795,0.64,0.0,0.25,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,1.34,0.0,0.0,0.0,1.47,0.0,0.0,0.21,0.0
MIR4796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.18,0.0,0.23,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0
MIR4797,0.0,0.0,0.0,0.0,0.93,1.38,1.33,0.54,0.29,0.0,0.7,0.57,0.22,0.32,0.0,0.0,0.74,0.0,0.52,0.69
MIR4798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4799,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,6.04,0.0,0.3,0.0,7.17,0.0,0.0,0.0,0.0,0.34,0.48,0.0
MIR4803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0
MIR4804,0.78,1.02,0.29,0.0,0.9,1.02,1.29,1.3,1.14,0.0,1.72,0.84,0.22,0.0,0.64,1.43,0.0,1.05,1.56,2.99
MIR4999,0.64,0.0,0.69,0.0,0.0,1.64,0.0,2.07,2.75,2.88,1.66,1.11,0.87,0.5,1.77,0.88,0.57,3.37,0.62,2.92
MIR5000,0.0,0.0,0.83,0.0,0.0,0.26,0.0,0.37,0.21,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.73,2.81
MIR5001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR5002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR5003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0
MIR5004,0.0,0.0,0.4,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22
MIR5006,1.05,0.0,0.94,5.74,0.0,1.13,0.85,0.87,0.57,0.8,0.23,0.0,0.43,1.03,0.42,0.95,1.88,0.0,0.0,0.44
MIR5007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR5008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26
MIR5009,0.0,0.74,3.14,0.65,0.0,4.19,0.0,1.71,2.11,0.0,1.99,2.61,1.27,0.21,2.09,1.32,0.0,1.27,2.08,5.32
MIR5010,13.91,14.64,13.82,4.75,0.0,3.28,16.42,10.87,3.86,21.05,10.83,3.01,3.57,4.9,3.68,7.88,0.0,2.55,0.0,6.05
MIR5011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR5047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR5087,,,,,,,,,,,,,,,,,,,,
MIR5088,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR5089,0.68,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49,1.67,0.0,0.0,0.0,0.95,0.6,0.9,0.66,2.0
MIR5090,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR5091,3.11,0.0,1.59,1.37,2.82,1.06,2.01,0.4,1.36,2.8,1.62,1.31,1.02,0.75,2.23,0.29,1.11,2.21,0.8,1.57
MIR5092,0.0,0.0,0.0,0.0,0.0,5.32,0.0,0.0,0.0,2.0,1.13,0.47,0.0,0.0,0.25,0.0,0.57,0.0,0.0,0.0
MIR5093,0.57,0.74,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.72,0.0,0.0,14.51
MIR5094,1.35,1.72,8.16,0.76,2.31,4.92,1.09,4.22,4.68,2.04,5.3,1.17,1.49,3.73,2.19,3.08,0.0,1.2,4.64,9.4
MIR5095,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR5096,0.0,0.0,0.0,0.0,0.0,1.42,0.0,0.0,0.29,0.0,0.0,0.3,0.22,0.32,0.0,0.73,0.0,0.0,0.0,0.33
MIR5100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0
MIR5186,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR5187,6.82,1.93,1.95,1.67,2.59,1.31,2.48,0.23,0.82,3.43,0.33,0.54,0.62,0.6,0.0,1.39,0.0,1.01,1.73,0.95
MIR5188,1.01,0.63,0.76,0.57,2.88,1.75,0.0,1.67,2.43,0.0,0.66,0.0,1.12,1.6,1.45,1.39,0.0,0.0,0.17,0.66
MIR5189,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.5,0.36,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28
MIR5190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0
MIR5191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0
MIR5192,0.0,2.39,0.0,2.74,0.7,2.15,1.02,0.4,4.11,5.67,2.71,1.07,2.08,1.7,1.27,1.72,0.0,6.37,1.21,4.99
MIR5193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR5194,0.0,0.6,1.41,0.0,0.0,8.01,0.78,3.48,4.72,0.72,5.4,1.0,1.18,3.94,4.07,7.22,0.44,1.05,1.73,7.65
MIR5195,0.0,0.0,0.0,525.03,203.33,14.39,80.76,0.0,216.2,18.17,0.0,0.0,0.0,59.57,187.15,184.39,1221.58,217.92,0.0,120.33
MIR5196,0.0,0.0,0.0,1.64,6.82,14.17,2.45,0.0,7.47,3.04,0.0,0.0,2.08,14.74,5.44,8.42,0.0,0.22,0.0,2.11
MIR5197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.91,0.0,0.17,0.0
MIR5571,20.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,4.7
MIR5572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR5579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.28,0.0,0.0,0.0,0.0,0.86,0.0,0.0
MIR5580,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR5581,73.93,31.73,16.09,49.56,23.95,39.09,31.25,20.17,28.35,46.45,13.31,11.02,25.74,27.88,30.51,32.34,24.96,24.67,19.78,25.01
MIR5582,0.84,2.14,2.17,0.91,0.0,5.43,1.39,1.1,2.47,7.67,3.67,1.78,1.4,3.66,2.37,3.08,1.51,0.75,0.83,4.63
MIR5583-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR5583-2,,,,,,,,,,,,,,,,,,,,
MIR5584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.71,0.0
MIR5585,0.0,0.0,1.08,0.0,0.0,1.68,0.0,2.88,2.5,0.0,0.86,0.33,0.81,1.14,2.37,4.43,0.87,0.45,0.97,2.88
MIR5586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR5587,19.58,88.45,29.3,38.22,28.34,13.04,31.86,59.92,20.98,49.32,24.96,18.52,22.82,62.73,33.23,50.95,38.97,40.94,2.49,21.91
MIR5588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0
MIR5589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR5590,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR5591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR5680,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR5681A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR5681B,,,,,,,,,,,,,,,,,,,,
MIR5682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.7,0.0,0.34,1.0,0.0
MIR5683,,,,,,,,,,,,,,,,,,,,
MIR5684,0.88,1.12,0.32,0.0,0.99,0.0,0.0,0.0,1.61,5.35,0.4,3.68,0.75,0.36,0.35,0.0,0.0,0.0,0.0,2.59
MIR5685,6.55,1.86,0.0,1.6,4.96,0.0,2.38,0.0,0.25,3.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR5687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.0,0.27,0.4,0.6,0.32,2.05,0.0,0.0,0.0,1.24
MIR5688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR5689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR5689HG,0.0,0.07,0.43,0.87,0.06,0.4,0.0,0.1,1.29,0.12,0.33,0.07,0.09,0.11,0.0,1.14,0.0,1.01,0.07,0.29
MIR5690,0.0,0.0,0.29,0.87,0.0,2.7,0.0,0.27,0.86,1.2,0.33,1.91,0.65,1.56,0.64,4.32,0.0,2.44,9.52,11.59
MIR5691,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR5692A1,2.5,3.19,0.0,10.08,7.59,0.0,16.32,0.0,0.0,3.79,0.0,0.0,0.0,0.0,0.0,0.0,8.23,0.0,0.0,0.0
MIR5692A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR5692B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0
MIR5692C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR5692C2,4.49,5.72,18.26,14.8,11.88,4.15,34.11,8.1,10.08,4.51,29.83,25.22,4.97,9.41,1.8,33.37,4.7,8.62,4.16,23.26
MIR5693,0.0,0.0,1.73,0.0,0.0,0.69,1.29,2.07,2.0,1.2,7.88,0.54,0.0,0.32,0.32,5.75,0.0,5.25,0.52,0.98
MIR5694,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR5695,0.0,3.44,0.25,2.24,0.77,0.0,1.09,0.23,0.0,2.04,0.3,0.0,0.19,0.0,0.0,0.0,1.81,0.0,0.0,0.29
MIR5696,0.0,0.0,0.51,0.0,0.0,0.58,0.0,1.57,0.0,0.0,0.0,0.94,0.19,0.53,0.0,0.92,0.0,0.3,0.0,1.13
MIR5697,0.0,0.0,2.71,0.0,0.0,1.28,0.0,0.23,2.68,0.0,4.17,1.81,0.62,1.46,1.77,3.04,0.0,1.31,2.42,4.96
MIR5698,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR5699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
