Gene_symbol,A3-KAW,A4-Fuk,BC-1,DB,DOHH-2,Farage,GRANTA-519,JSC-1,KARPAS-1106P,KARPAS-422,RC-K8,SCC-3,SLVL,SU-DHL-10,SU-DHL-5,SU-DHL-6,SU-DHL-8,TK,TUR,VAL
Null,Sensitive,Resistive,Resistive,Resistive,Sensitive,Sensitive,Resistive,Sensitive,Resistive,Resistive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Resistive,Resistive,Resistive,Resistive
,,,,,,,,,,,,,,,,,,,,
ABCA11P,1.42,1.83,2.09,5.32,2.02,2.62,2.21,1.34,3.25,10.66,1.95,0.03,0.43,1.78,3.39,2.75,2.49,5.06,0.24,2.0
ABCA12,0.14,0.35,0.04,0.38,0.16,0.0,3.09,0.7,0.75,0.12,0.3,0.07,4.25,0.0,0.04,0.0,0.5,4.12,0.0,0.04
ABCA13,0.1,0.14,0.04,0.04,0.03,0.07,0.0,0.03,0.07,0.04,0.07,65.12,0.09,0.0,0.0,0.0,0.03,0.07,0.87,0.11
ABCA17P,0.2,0.81,0.11,0.34,0.38,0.04,0.17,0.43,0.54,0.24,0.03,7.57,0.19,0.0,0.04,0.07,0.4,0.0,9.49,0.36
ABCB1,19.51,3.86,13.53,0.11,0.06,0.11,0.31,0.1,0.5,0.04,16.32,0.0,0.37,0.0,0.0,0.04,0.67,7.12,0.0,24.68
ABCB4,0.27,0.28,0.04,1.94,6.37,0.18,10.54,0.07,1.79,0.4,6.06,0.0,0.06,0.07,0.07,0.18,0.17,11.29,0.0,8.27
ABCB5,0.03,0.11,0.14,0.0,0.0,0.07,0.0,0.13,0.11,0.0,0.2,0.07,0.12,0.0,0.0,0.0,0.03,0.04,0.03,0.36
ABCB6,4.35,1.51,3.54,4.91,3.3,2.11,1.33,1.97,2.32,7.27,1.82,2.61,2.08,3.69,2.23,2.78,0.77,1.61,2.29,4.48
ABCB7,42.1,56.9,45.22,95.01,33.88,46.52,54.65,39.21,58.81,67.46,41.18,42.47,48.38,46.39,51.33,60.73,33.15,53.81,96.35,43.12
ABCB8,13.4,23.62,27.86,16.77,21.26,17.96,9.08,20.21,16.34,22.01,23.54,3.72,7.11,17.26,20.26,18.61,13.34,7.8,6.96,16.04
ABCB9,0.64,3.12,1.84,0.11,1.31,0.95,11.15,3.45,1.18,0.52,1.39,3.18,1.21,1.42,1.63,1.61,0.4,1.12,2.18,1.39
ABCB10,74.23,46.19,28.07,52.22,21.93,28.78,18.19,37.6,27.56,29.08,22.84,18.36,38.72,35.48,36.87,26.59,26.87,50.28,79.03,48.48
ABCB10P1,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.07,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0
ABCB10P3,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCB10P4,0.03,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
ABCB11,0.0,0.0,0.0,0.04,0.03,0.33,0.03,0.0,0.04,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
ABCC1,53.1,70.06,68.45,104.48,40.51,33.59,65.26,44.66,50.98,69.21,47.01,65.35,127.0,58.89,41.89,70.66,34.87,53.84,41.0,42.87
ABCC2,2.67,0.7,0.29,0.34,0.16,0.98,4.83,0.27,0.71,0.4,1.09,1.61,0.56,0.11,0.39,5.24,1.95,1.16,4.05,4.74
ABCC3,0.24,0.18,0.04,0.08,0.26,0.07,0.1,0.03,0.14,0.2,0.07,0.07,0.06,0.0,0.0,0.0,0.07,0.04,0.07,0.15
ABCC4,9.69,13.2,9.49,80.06,15.34,20.98,11.56,8.33,36.39,27.48,19.1,11.36,27.54,27.21,0.81,23.77,4.94,19.84,24.49,13.31
ABCC5,16.64,17.94,10.36,23.58,8.61,4.52,3.6,11.64,3.47,68.22,8.38,6.03,10.74,21.1,10.85,52.67,15.62,18.71,11.01,9.4
ABCC5-AS1,0.14,0.63,0.0,0.42,0.29,0.04,0.2,0.0,0.04,1.12,0.0,0.0,0.03,0.39,0.0,1.68,0.0,0.0,0.0,0.22
ABCC6,0.64,1.26,0.4,0.38,0.1,0.04,0.34,0.6,0.07,0.2,0.07,0.1,0.03,0.0,0.0,0.07,0.1,0.04,0.14,0.07
ABCC6P1,0.07,0.32,0.04,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC6P2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0
ABCC8,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC9,5.16,7.62,3.9,3.08,2.47,1.75,2.48,2.04,2.61,4.59,1.56,18.39,1.27,0.89,0.95,1.76,1.14,1.35,1.07,2.73
ABCC10,25.39,16.43,21.29,12.82,13.16,12.68,12.0,17.93,16.69,36.82,10.33,13.16,9.63,15.2,13.47,57.91,11.59,11.06,7.34,15.67
ABCC11,0.98,0.56,0.18,0.08,0.03,0.04,0.07,0.17,0.07,0.28,0.1,0.13,0.09,0.07,0.04,0.04,0.13,0.07,0.21,0.07
ABCC12,0.03,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.03,0.04,0.0,0.0,0.0,0.0,0.0,0.0
ABCC13,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
ABCD1,55.03,18.36,39.08,2.47,1.6,3.46,7.92,38.61,19.98,4.75,6.95,6.93,12.11,5.26,2.51,6.08,1.34,4.91,58.53,21.18
ABCD1P2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCD1P3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.04
ABCD1P4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCD1P5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCD2,6.28,14.6,7.94,0.0,0.16,2.81,3.81,14.32,1.86,0.04,3.21,0.0,28.13,0.21,0.0,2.89,2.35,1.5,0.0,0.29
ABCD3,18.36,20.67,19.92,37.62,16.91,26.3,7.52,24.05,25.92,15.78,13.01,12.06,14.28,20.96,27.93,12.6,23.45,61.94,33.11,20.78
ABCD4,13.87,16.11,22.37,14.87,19.21,8.82,22.38,26.5,13.37,32.87,13.8,22.68,8.76,9.27,10.68,25.31,27.85,21.37,14.48,30.44
ABCE1,78.25,124.96,158.71,169.94,63.18,146.84,93.28,149.94,96.91,173.86,105.27,124.47,70.46,146.23,155.97,99.19,83.88,103.26,93.16,126.05
ABCF1,98.71,170.76,128.61,121.18,76.37,85.24,138.3,158.21,114.29,125.37,104.11,91.01,67.82,138.17,113.26,217.1,88.81,147.13,104.83,103.09
ABCF2,58.71,144.3,129.91,113.49,84.5,97.41,69.58,156.7,84.54,106.08,109.34,36.68,69.03,144.99,83.11,72.42,91.67,51.52,39.55,91.2
ABCF2P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0
ABCF2P2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCF3,55.23,64.83,35.98,23.85,24.02,28.09,38.53,32.32,32.03,84.19,39.2,20.9,28.63,26.89,21.14,30.88,31.81,33.33,23.83,30.26
ABCG1,0.07,0.98,0.14,0.42,1.25,0.15,2.79,67.41,1.11,0.04,0.56,0.44,3.45,3.34,0.0,9.45,1.41,11.44,0.38,20.63
ABCG2,1.22,3.79,0.0,0.08,0.03,0.0,0.03,0.0,0.04,0.0,11.49,1.91,0.0,0.0,0.0,0.0,0.44,0.75,0.0,0.04
ABCG4,0.03,0.0,0.0,0.19,0.0,0.0,0.17,0.0,0.11,0.0,0.03,0.13,0.03,0.0,0.0,0.37,0.0,0.0,0.03,0.11
ABCG5,0.03,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
ABCG8,0.0,0.11,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD1,1.08,0.77,0.11,1.18,0.26,0.15,0.41,0.74,0.64,0.44,0.07,0.94,0.06,0.04,0.0,0.15,0.13,0.07,2.32,0.26
ABHD2,25.42,20.36,17.72,28.87,12.84,19.78,18.23,18.47,18.02,39.9,14.76,12.56,17.11,18.12,24.5,10.84,19.78,41.32,56.42,8.53
ABHD3,10.19,31.94,28.36,84.93,34.1,58.1,27.14,30.95,39.5,62.35,36.88,7.54,22.61,23.73,87.42,57.29,31.91,24.63,8.87,19.1
ABHD4,34.5,24.25,15.05,1.52,0.64,23.13,6.19,16.46,34.89,2.48,11.88,50.51,41.77,14.21,25.84,21.76,9.67,7.42,36.81,16.48
ABHD5,19.95,13.69,7.58,2.81,8.68,13.26,1.9,10.44,8.29,2.92,14.63,16.31,7.79,6.36,6.47,4.98,2.99,8.17,13.26,4.08
ABHD6,1.72,8.42,30.89,17.27,7.56,12.6,12.14,29.57,9.87,15.46,2.32,5.02,58.94,6.46,11.14,18.86,2.79,7.35,12.12,6.05
ABHD8,62.32,6.14,0.36,17.0,12.1,22.48,8.57,6.19,25.31,6.23,21.98,12.09,27.02,17.94,7.07,51.68,1.18,51.93,12.19,56.54
ABHD10,26.43,49.39,45.11,66.83,32.05,43.13,49.48,38.24,39.11,47.29,29.69,26.8,40.52,40.85,23.33,32.23,60.13,68.54,44.02,57.27
